feature,importance,absolute_importance,model,experiment_id,include_prior_grades,use_interactions
failures,-1.1546770918830604,1.1546770918830604,linear_regression,early_warning__baseline_features,False,False
Mjob_health,1.150486293083205,1.150486293083205,linear_regression,early_warning__baseline_features,False,False
Fjob_teacher,1.1075340707898789,1.1075340707898789,linear_regression,early_warning__baseline_features,False,False
subject_mat,-0.841537405816033,0.841537405816033,linear_regression,early_warning__baseline_features,False,False
subject_por,0.8415374058160323,0.8415374058160323,linear_regression,early_warning__baseline_features,False,False
higher_no,-0.8303724290161327,0.8303724290161327,linear_regression,early_warning__baseline_features,False,False
higher_yes,0.8303724290161324,0.8303724290161324,linear_regression,early_warning__baseline_features,False,False
schoolsup_no,0.6655699273582314,0.6655699273582314,linear_regression,early_warning__baseline_features,False,False
schoolsup_yes,-0.6655699273582314,0.6655699273582314,linear_regression,early_warning__baseline_features,False,False
Mjob_other,-0.5318770437360895,0.5318770437360895,linear_regression,early_warning__baseline_features,False,False
Fjob_services,-0.5308827224845382,0.5308827224845382,linear_regression,early_warning__baseline_features,False,False
Mjob_teacher,-0.44306960920974486,0.44306960920974486,linear_regression,early_warning__baseline_features,False,False
Mjob_at_home,-0.4346825678676429,0.4346825678676429,linear_regression,early_warning__baseline_features,False,False
guardian_other,0.4213424733360237,0.4213424733360237,linear_regression,early_warning__baseline_features,False,False
studytime,0.3925775521210217,0.3925775521210217,linear_regression,early_warning__baseline_features,False,False
health,-0.38167137444568233,0.38167137444568233,linear_regression,early_warning__baseline_features,False,False
reason_reputation,0.3684679090189201,0.3684679090189201,linear_regression,early_warning__baseline_features,False,False
school_MS,-0.3420935674493503,0.3420935674493503,linear_regression,early_warning__baseline_features,False,False
school_GP,0.34209356744934966,0.34209356744934966,linear_regression,early_warning__baseline_features,False,False
romantic_no,0.31953676866122316,0.31953676866122316,linear_regression,early_warning__baseline_features,False,False
romantic_yes,-0.31953676866122316,0.31953676866122316,linear_regression,early_warning__baseline_features,False,False
guardian_mother,-0.287247705448178,0.287247705448178,linear_regression,early_warning__baseline_features,False,False
goout,-0.2865171612774484,0.2865171612774484,linear_regression,early_warning__baseline_features,False,False
Mjob_services,0.2591429277302723,0.2591429277302723,linear_regression,early_warning__baseline_features,False,False
Fjob_health,-0.2442767894772312,0.2442767894772312,linear_regression,early_warning__baseline_features,False,False
reason_other,-0.23477436680856412,0.23477436680856412,linear_regression,early_warning__baseline_features,False,False
Fjob_other,-0.21828890584174976,0.21828890584174976,linear_regression,early_warning__baseline_features,False,False
reason_home,-0.20071378055574754,0.20071378055574754,linear_regression,early_warning__baseline_features,False,False
famrel,0.17856998884159989,0.17856998884159989,linear_regression,early_warning__baseline_features,False,False
address_U,0.16374532187046575,0.16374532187046575,linear_regression,early_warning__baseline_features,False,False
address_R,-0.16374532187046567,0.16374532187046567,linear_regression,early_warning__baseline_features,False,False
Medu,0.15380936590172667,0.15380936590172667,linear_regression,early_warning__baseline_features,False,False
famsize_GT3,-0.1378205909776012,0.1378205909776012,linear_regression,early_warning__baseline_features,False,False
famsize_LE3,0.13782059097760058,0.13782059097760058,linear_regression,early_warning__baseline_features,False,False
guardian_father,-0.13409476788784652,0.13409476788784652,linear_regression,early_warning__baseline_features,False,False
famsup_yes,-0.13006533217178343,0.13006533217178343,linear_regression,early_warning__baseline_features,False,False
famsup_no,0.13006533217178334,0.13006533217178334,linear_regression,early_warning__baseline_features,False,False
internet_no,-0.11474487689527962,0.11474487689527962,linear_regression,early_warning__baseline_features,False,False
internet_yes,0.11474487689527954,0.11474487689527954,linear_regression,early_warning__baseline_features,False,False
